"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT08","WT13","WT14","WT16","WT18","WT22"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-06","5.1",,"1.5","0.0","0.0",,"7.2","6.1","  190","  190","9.4","11.6","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-07","4.6",,"1.0","0.0","0.0",,"7.8","3.3","  200","  210","10.3","13.9",,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-08","2.0",,"0.0","0.0","0.0",,"6.7","3.3","  220","  240","5.4","6.3",,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-09","2.1",,"1.5","0.0","0.0",,"6.7","2.8","   30","  140","4.0","5.8","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-10","1.8",,"0.5","0.0","0.0",,"7.2","5.6","  200","  220","5.8","8.0","    1","    1",,,,,,"    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-11","4.5",,"3.0","0.0","0.0",,"7.8","5.6","  170","  210","8.9","11.2","    1",,,,,,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-12","2.0",,"8.1","0.0","0.0",,"6.7","4.4","  200","  190","5.8","7.6","    1",,,,,,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-13","2.8",,"2.3","0.0","0.0",,"7.2","3.3","  150","  150","5.8","6.3","    1",,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-14","1.7",,"7.9","0.0","0.0",,"6.1","1.1","  140","  140","5.4","6.3","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-15","5.1",,"5.3","0.0","0.0",,"4.4","0.6","  160","  190","9.8","13.0","    1",,,,,,"    1",,"    1","    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-16","5.5",,"22.6","0.0","0.0",,"6.7","3.3","  160","  160","10.3","13.4","    1",,,,,,"    1",,"    1","    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-17","9.5",,"2.0","0.0","0.0",,"8.3","1.7","  220","  220","17.0","26.4",,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-18","5.3",,"3.3","15.0","25.0",,"3.9","0.6","  200","  190","8.9","11.2","    1",,,,,,"    1",,"    1","    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-19","5.8",,"13.7","0.0","0.0",,"8.3","1.7","  180","  170","12.5","17.0",,,,,,,,,"    1","    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-20","3.7",,"13.2","0.0","0.0",,"7.2","0.6","  190","  180","9.8","13.0","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-21","1.7",,"1.8","0.0","0.0",,"8.3","-1.7","  120","  120","6.3","8.0",,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-22","3.5",,"3.3","0.0","0.0",,"8.3","3.9","  200","  180","11.2","15.6","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-23","2.5",,"6.6","0.0","0.0",,"7.2","3.3","   80","   70","5.8","7.2","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-24","2.8",,"0.3","0.0","0.0",,"5.6","2.8","  200","  200","6.3","8.0","    1",,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-25","4.2",,"13.5","0.0","0.0",,"5.6","2.8","  120","  120","8.9","11.6","    1",,,,,,"    1",,"    1","    1",
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-26","4.9",,"4.6","0.0","0.0",,"6.7","3.3","  180","  180","9.4","13.0","    1",,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-27","3.2",,"4.1","0.0","0.0",,"7.8","3.3","  210","  200","7.6","9.8","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-28","1.7",,"0.0","0.0","0.0",,"8.3","3.9","  110","  120","4.0","5.4",,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-29","1.7",,"1.5","0.0","0.0",,"5.0","3.3","  110","  130","4.0","5.8","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-30","1.8",,"0.0","0.0","0.0",,"4.4","0.0","   80","   80","4.0","5.4","    1","    1",,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2012-12-31","2.0",,"0.0","0.0","0.0",,"3.3","-1.1","   20","   30","6.7","8.0",,,,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-01","2.7",,"0.0","0.0","0.0",,"5.0","-2.8","   10","   10","6.3","7.6",,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-02","3.2",,"0.0","0.0","0.0",,"6.1","-1.1","  120","  120","7.6","9.8",,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-03","3.0",,"4.1","0.0","0.0",,"6.7","-1.7","  120","  120","7.2","8.9","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-04","2.8",,"2.5","0.0","0.0",,"10.0","2.2","  210","  210","6.3","8.0","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-05","3.1",,"3.0","0.0","0.0",,"6.7","4.4","  110","  120","9.4","11.2","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-06","3.0",,"2.0","0.0","0.0",,"7.2","2.8","  200","  200","7.2","9.4","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-07","7.3",,"2.3","0.0","0.0",,"10.0","4.4","  210","  220","13.4","17.9",,,,,,"    1","    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-08","6.3",,"16.3","0.0","0.0",,"11.7","5.6","  200","  190","13.9","19.2","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-09","5.1",,"38.4","0.0","0.0",,"10.0","1.7","  210","  210","9.8","14.8","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-10","2.1",,"0.3","0.0","0.0",,"3.3","-0.6","  180","  190","4.5","6.3",,"    1",,,,,,,"    1","    1","    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-11","1.9",,"0.0","0.0","0.0",,"2.8","-2.8","  360","   20","4.5","6.7",,"    1",,,,,"    1",,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-12","2.0",,"0.0","0.0","0.0",,"2.8","-3.9","   10","   20","5.4","5.8",,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-13","1.5",,"0.0","0.0","0.0",,"2.2","-4.4","  130","  140","3.6","4.0",,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-14","1.3",,"0.0","0.0","0.0",,"3.3","-2.2","  230","  250","3.1","4.0",,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-15","2.3",,"0.0","0.0","0.0",,"6.7","-0.6","   20","   10","5.4","6.3",,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-16","1.8",,"0.0","0.0","0.0",,"6.1","-3.9","  360","   40","4.5","5.4",,"    1",,,,,"    1",,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-17","1.0",,"0.0","0.0","0.0",,"3.9","-2.8","   60","  330","3.1","3.6",,"    1",,,,,"    1",,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-18","1.3",,"0.0","0.0","0.0",,"3.3","-1.1","   30","  360","4.0","5.4",,"    1",,,,,"    1",,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-19","1.9",,"0.0","0.0","0.0",,"1.1","-0.6","   30","   30","4.5","5.8","    1","    1",,,,,"    1",,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-20","2.1",,"0.0","0.0","0.0",,"3.3","-0.6","   20","   20","4.0","4.5",,"    1",,,,,"    1",,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-21","1.1",,"0.0","0.0","0.0",,"2.2","-1.7","  130","  130","4.0","4.5",,"    1",,,,,"    1",,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-22","0.6",,"0.0","0.0","0.0",,"3.3","-1.7","  150","  210","3.1","3.1",,"    1",,,,"    1","    1",,,,"    1"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-23","3.1",,"5.1","0.0","0.0",,"7.2","2.2","  200","  200","8.0","10.3","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-24","2.6",,"5.8","0.0","0.0",,"7.2","1.1","  190","  190","6.7","8.0","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-25","2.1",,"3.0","0.0","0.0",,"10.6","2.8","  220","  220","4.5","5.8","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-26","4.5",,"2.3","0.0","0.0",,"8.3","3.9","  210","  210","9.4","13.0","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-27","4.5",,"1.8","0.0","0.0",,"5.6","3.9","  200","  190","8.0","10.3","    1",,,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-28","3.2",,"7.9","0.0","0.0",,"6.1","3.3","  210","  220","6.3","7.6","    1",,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-29","3.9",,"4.3","0.0","0.0",,"8.3","5.0","  220","  210","9.4","12.5","    1",,,,,,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-30","3.9",,"3.6","0.0","0.0",,"8.9","6.7","  190","  210","7.2","9.4",,,,,,,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-01-31","4.0",,"3.0","0.0","0.0",,"9.4","7.2","  200","  200","7.6","10.7",,,,,,,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-01","2.9",,"0.3","0.0","0.0",,"11.7","5.0","   10","   10","7.2","8.9","    1",,,,,"    1",,"    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-02","2.0",,"0.0","0.0","0.0",,"6.1","2.8","   10","   10","6.7","7.2","    1","    1",,,,,"    1",,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-03","2.9",,"2.3","0.0","0.0",,"8.9","2.8","  210","  210","5.4","6.3",,"    1",,,,,"    1",,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-04","2.6",,"0.0","0.0","0.0",,"10.6","6.7","  130","  130","5.8","6.7",,,,,,"    1",,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-05","5.1",,"3.3","0.0","0.0",,"10.0","6.7","  200","  190","9.8","11.6","    1",,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-06","4.5",,"1.0","0.0","0.0",,"10.6","6.1","  190","  180","8.0","11.2",,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-07","4.1",,"1.3","0.0","0.0",,"9.4","3.3","  240","  220","9.4","13.9",,,,,,,,,"    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-08","1.3",,"0.0","0.0","0.0",,"7.8","2.2","   30","   30","5.8","7.2",,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-09","1.3",,"0.3","0.0","0.0",,"8.3","4.4","  340","  350","3.6","4.0","    1",,,,,,"    1","    1","    1",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2013-02-10","2.0",,"0.0","0.0","0.0",,"8.9","1.7","  330","  330","4.5","6.3","    1","    1",,,,"    1","    1",,,,
